referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.state,location.cc,location.distance,location.lng,location.lat,name,id,location.city,location.postalCode,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,allowMenuUrlEdit,venuePage.id,location.crossStreet,url
v-1463156875,,2,5,false,United States,MN,US,27298,-93.587724,45.316841,Emerson Process Management - Tescom,517688fbe4b0457162cb6e84,Elk River,55330,true,.png,https://ss3.4sqi.net/img/categories_v2/building/factory_,Factory,Factories,Factory,4eb1bea83b7b6f98df247e06,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
v-1463156875,0,3,3,false,United States,CA,US,8614,-122.03663995057478,37.396650421214815,Enplas Tesco,4c6ae09c9c76d13a5f3b4d0f,Sunnyvale,94085,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
v-1463156875,1,17,257,false,United States,TX,US,15362,-97.1570348739624,32.810217408750574,Tesco Park,4c448941f0bdd13a2db4c9cc,Hurst,76053,true,.png,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_,Park,Parks,Park,4bf58dd8d48988d163941735,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
v-1463156875,0,25,32,false,United States,WA,US,77269,-122.98414222387309,47.07028907020498,TESC Organic Farm,4b55f2dbf964a52030f827e3,Olympia,98502,true,.png,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/farm_,Farm,Farms,Farm,4bf58dd8d48988d15b941735,,,Simmons Rd NW,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
v-1463156875,0,25,32,false,United States,WA,US,69137,-122.98414222387309,47.07028907020498,TESC Organic Farm,4b55f2dbf964a52030f827e3,Olympia,98502,true,.png,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/farm_,Farm,Farms,Farm,4bf58dd8d48988d15b941735,,,Simmons Rd NW,
v-1463156875,0,2,2,true,United States,CA,US,28011,-118.33371877670287,34.065387643178276,Tesco Demo Day,509a2c2645b0468c1dcb353a,Los Angeles,90020,true,.png,https://ss3.4sqi.net/img/categories_v2/building/eventspace_,Event Space,Event Spaces,Event Space,4bf58dd8d48988d171941735,,40939476,,
v-1463156875,,1,1,false,United States,CA,US,31768,-118.1255111694336,33.79583740234375,Tescoflex Service Pedestal,4f24ce86e4b0eec7fe9e5f87,Long Beach,90815,true,.png,https://ss3.4sqi.net/img/categories_v2/travel/default_,Travel,General Travel,General Travel,4bf58dd8d48988d1f6931735,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
v-1463156875,0,7,641,false,United States,MA,US,92143,-71.4507644910715,42.686026659765936,Tesco Associates,4c10f9ac6b7e2d7f17702835,Tyngsboro,01879,true,.png,https://ss3.4sqi.net/img/categories_v2/building/office_coworkingspace_,Coworking Space,Coworking Spaces,Coworking Space,4bf58dd8d48988d174941735,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
v-1463156875,0,3,3,false,United States,CA,US,56070,-122.03663995057478,37.396650421214815,Enplas Tesco,4c6ae09c9c76d13a5f3b4d0f,Sunnyvale,94085,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/technology_,Electronics,Electronics Stores,Electronics Store,4bf58dd8d48988d122951735,true,,at Franklin Blvd.,
v-1463156875,,2,48,false,United States,CA,US,84808,-121.4682,38.50344,Tesco Controls, Inc.,4b97e269f964a5209a1c35e3,Sacramento,95823,,,,,,,,,,,
v-1463156875,,9,22,false,United States,CA,US,88051,-121.39386806062294,38.49295822785601,Tesco Controls Inc.,4c49b1326594be9a31886c25,Sacramento,95828,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
v-1463156875,0,2,48,false,United States,CA,US,78244,-121.4682,38.50344,Tesco Controls, Inc.,4b97e269f964a5209a1c35e3,Sacramento,95823,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/technology_,Electronics,Electronics Stores,Electronics Store,4bf58dd8d48988d122951735,true,,at Franklin Blvd.,
v-1463156875,,9,22,false,United States,CA,US,83447,-121.39386806062294,38.49295822785601,Tesco Controls Inc.,4c49b1326594be9a31886c25,Sacramento,95828,,,,,,,,,,,
v-1463156875,,3,3,false,United States,CA,US,87023,-122.03663995057478,37.396650421214815,Enplas Tesco,4c6ae09c9c76d13a5f3b4d0f,Sunnyvale,94085,,,,,,,,,,,
v-1463156875,0,9,30,false,United States,IL,US,3843,-88.32238162512421,42.07327735431098,CFM / VR - TESCO LLC.,4d97993461a3a1cdfae6b942,Elgin,60123,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Building,Buildings,Building,4bf58dd8d48988d130941735,,,,
v-1463156875,,2,3,false,United States,Illinois,US,29326,-87.998277,41.914686,Tesco Construction, Inc,4e172d5845ddc623eb0ffd7c,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
v-1463156875,0,1,1,false,United States,NE,US,10972,-96.107091,41.224204,Tesco Productions,538a8876498e7b711dd51906,Omaha,,,,,,,,,,,,
v-1463156875,0,2,48,false,United States,CA,US,112732,-121.4682,38.50344,Tesco Controls, Inc.,4b97e269f964a5209a1c35e3,Sacramento,95823,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/technology_,Electronics,Electronics Stores,Electronics Store,4bf58dd8d48988d122951735,true,,at Franklin Blvd.,
,,,,,,,,,,,,,,,,,,,,,,,,,
v-1463156875,0,3,3,false,United States,CA,US,9258,-122.03663995057478,37.396650421214815,Enplas Tesco,4c6ae09c9c76d13a5f3b4d0f,Sunnyvale,94085,,,,,,,,,,,
v-1463156875,0,1,1,false,United States,CA,US,82344,-118.1255111694336,33.79583740234375,Tescoflex Service Pedestal,4f24ce86e4b0eec7fe9e5f87,Long Beach,90815,true,.png,https://ss3.4sqi.net/img/categories_v2/travel/default_,Travel,General Travel,General Travel,4bf58dd8d48988d1f6931735,,40939476,,
v-1463156875,,2,2,true,United States,CA,US,97269,-118.33371877670287,34.065387643178276,Tesco Demo Day,509a2c2645b0468c1dcb353a,Los Angeles,90020,true,.png,https://ss3.4sqi.net/img/categories_v2/building/eventspace_,Event Space,Event Spaces,Event Space,4bf58dd8d48988d171941735,,,,
v-1463156875,,1,1,false,United States,CA,US,102870,-117.080225,33.121009,AT&T Escondido C/O,53690747498ea3276b7c857e,Escondido,,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Office,Offices,Office,4bf58dd8d48988d124941735,,,,
v-1463156875,0,2,48,false,United States,CA,US,58805,-121.4682,38.50344,Tesco Controls, Inc.,4b97e269f964a5209a1c35e3,Sacramento,95823,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/technology_,Electronics,Electronics Stores,Electronics Store,4bf58dd8d48988d122951735,true,,at Franklin Blvd.,
v-1463156875,,9,22,false,United States,CA,US,61596,-121.39386806062294,38.49295822785601,Tesco Controls Inc.,4c49b1326594be9a31886c25,Sacramento,95828,,,,,,,,,,,
