referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.cc,location.distance,location.lng,location.lat,name,id,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,allowMenuUrlEdit,location.city,url,venueChains.id,location.postalCode,location.state,storeId,location.crossStreet,menu.mobileUrl,menu.url,menu.anchor,menu.label,menu.type,hasMenu,location.neighborhood,venuePage.id,events.items.stats.usersCount,events.items.stats.checkinsCount,events.items.provider.urlText,events.items.provider.iconUrl.name,events.items.provider.iconUrl.sizes,events.items.provider.iconUrl.prefix,events.items.provider.name,events.items.url,events.items.text,events.items.timeZone,events.items.allDay,events.items.endAt,events.items.startAt,events.items.categories.primary,events.items.categories.icon.suffix,events.items.categories.icon.prefix,events.items.categories.shortName,events.items.categories.pluralName,events.items.categories.name,events.items.categories.id,events.items.name,events.items.id,events.summary,events.count,menu.externalUrl
v-1461949518,18,27,38,false,United Kingdom,GB,25466,-1.393798,50.92477,Pizza Hut,4c8fd0fa6fbf224bb57b4e8f,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Bracknell,http://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,RG14 7HU,Greater London,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,7,3,14,false,United Kingdom,GB,26352,-1.356501,50.966651,Pizza Hut,5234d60611d2188c588c834c,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Leicester Square,http://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,W1C 2QJ,Greater London,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,7,1554,1716,true,United Kingdom,GB,103382,-0.13460250237744226,51.509533370145796,Pizza Hut,4c41b1e6520fa5935af3c9ac,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Reading,http://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,SE16 7LW,Greater London,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,2,1005,1228,true,United Kingdom,GB,103894,-0.12329578399658203,51.50954376090435,Pizza Hut,4bc6005242419521ca66031d,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Newbury,http://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,WC1B 5AL,Greater London,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,11,217,516,true,United Kingdom,GB,72438,-0.7548809051513672,51.41577604964762,Pizza Hut,4bae4dc9f964a520fe9f3be3,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Marble Arch,http://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,KT1 1QY,Brighton and Hove,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,2,1476,1725,true,United Kingdom,GB,103729,-0.1296070298818235,51.51096585009052,Pizza Hut,4bcd8f10fb84c9b6f022223e,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,London,http://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,RG1 2AG,Surrey,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,4,244,406,true,United Kingdom,GB,69901,-0.9805649254131431,51.42416854660079,Pizza Hut,4c4b2db446240f47297efaf2,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Russell Square,http://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,BN2 5WA,Wiltshire,967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,1,141,299,true,United Kingdom,GB,66996,-1.3178658485412598,51.384577759488614,Pizza Hut,4bf2da7e6991c9b65b9529e9,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Kingston,http://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,TW18 4BL,Wiltshire,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,6,1580,1814,true,United Kingdom,GB,102723,-0.15731363610214327,51.51369876157045,Pizza Hut,4cb1baa61463a143ada1a7a9,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Reading Oracle,http://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,SP 1 1,Surrey,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,2,288,418,true,United Kingdom,GB,106380,-0.04550099372863769,51.49566421856946,Pizza Hut,4bc8cf0d0ee495213c635203,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Brighton Marina village,http://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,SP4 7SQ,Greater London,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,2,374,522,true,United Kingdom,GB,104868,-0.12385368347167969,51.521374681396225,Pizza Hut,4c3787dd18e72d7fffb516f5,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Staines-upon-Thames,http://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,BH9 3JU,Surrey,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,7,319,494,true,United Kingdom,GB,87544,-0.3009653091430664,51.4107707633191,Pizza Hut,4c040f87f56c2d7f58bc1d66,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Salisbury,http://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,RG22 4AN,Greater London,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,9,427,614,true,United Kingdom,GB,73176,-0.970719,51.453087,Pizza Hut,4ba131f0f964a520e6a037e3,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Amesbury,https://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,TW13 7EQ,Greater London,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,4,162,234,true,United Kingdom,GB,69210,-0.1063500210582348,50.81266061950306,Pizza Hut,4c011f2e9cf52d7ff8ac14e7,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Bournemouth Castle Meadow,http://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,W2 4SJ,Greater London,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,7,198,297,true,United Kingdom,GB,81383,-0.5122991597994524,51.43481350820916,Pizza Hut,4b59dd3ef964a520d79c28e3,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Camberley,http://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,UB8 1JY,Brighton and Hove,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,4,51,63,false,United Kingdom,GB,57893,-1.7956852912902832,51.06961582,Pizza Hut,4b7188aff964a520a84b2de3,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Basingstoke Retail Park,https://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,GU22 7PX,Greater London,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,1,143,207,true,United Kingdom,GB,62857,-1.7574691772460938,51.1772444995005,Pizza Hut,4ba21882f964a52071db37e3,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Feltham,http://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,NW1 6UY,West Sussex,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,7,127,207,true,United Kingdom,GB,55174,-1.871376,50.760435461997986,Pizza Hut,4c5d49a96ebe2d7f335cd22e,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Queensway,http://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,W6 0QW,Swindon,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,1,3,3,false,United Kingdom,GB,63165,-0.755283,51.327001,Pizza Hut,51cdb69b498ed0f1a1d944bc,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Uxbridge,http://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,CR0 1TG,Hampshire,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,5,118,166,true,United Kingdom,GB,50142,-1.110343337059021,51.25026047229767,Pizza Hut,4b98080bf964a520852735e3,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Woking,http://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,BN2 3LG,Greater London,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,1,162,277,true,United Kingdom,GB,86100,-0.40524764114428,51.44305389614979,Pizza Hut,4ca63e1b931bb60c867a91e2,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Baker Street,https://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,N17 9LR,Brighton and Hove,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,5,558,655,true,United Kingdom,GB,101311,-0.18762135593248158,51.512735324906366,Pizza Hut,4ba12e2ef964a520869f37e3,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Hammersmith,http://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,RH2 7AD,Greater London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,2,129,197,true,United Kingdom,GB,93436,-0.4799330234527588,51.54714903259219,Pizza Hut,4cc03625985aa35dcd5c4b12,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Greater London,http://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,RH10 1NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,0,10,13,false,United Kingdom,GB,68408,-0.5602082876966089,51.31649444535781,Pizza Hut,520fe88a11d2c8328a2e6046,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Brighton,http://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,KT19 8DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,,661,740,true,United Kingdom,GB,103452,-0.15780558955821755,51.52245068367432,Pizza Hut,4bb5fe38f562ef3b63772f97,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,London,http://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,SN3 3SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,,284,356,true,United Kingdom,GB,97721,-0.23034528026295656,51.49268978918443,Pizza Hut,4c99393780958cfa1a8738d4,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Crawley,https://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,EN1 1YQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,,156,207,true,United Kingdom,GB,94252,-0.1011529327480197,51.37542873288754,Pizza Hut,4ca0eba303133704021e7fd5,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Epsom High St,https://www.pizzahut.co.uk/Store/StoreDetail?postcode=RH103DG&storeid=8077&islocationsearch=0&supportsdeliverytosearchaddress=1,556f5631bd6a75a99036aba1,KT5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461949518,,31,42,false,United Kingdom,GB,67941,-0.12562665118215674,50.83585952996397,Pizza Hut Delivery,4d0e6ca35b8a8cfafd28ea83,true,.png,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza,Pizza Places,Pizza Place,4bf58dd8d48988d1ca941735,true,Swindon,http://www.pizzahut.co.uk,556f5631bd6a75a99036aba1,BN1 3FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
