referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.cc,location.distance,location.lng,location.lat,name,id,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,allowMenuUrlEdit,location.city,location.state,location.postalCode,url,location.crossStreet,storeId,venueChains.id
v-1461944107,,11,14,true,United Kingdom,GB,79721,-1.9904780387878418,50.71474877153546,Westover Lexus,4f215e95c2ee2a4f6d290443,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,true,,,,,,,
v-1461944107,,23,42,false,United Kingdom,GB,90716,-1.3051977198357165,50.92296449867992,Lexus Southampton,4d0202e958245481aca148ac,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,true,,,,,,,
v-1461944107,,4,9,false,United Kingdom,GB,90747,-1.305379,50.92233,Snows Lexus Hedge End,4df8cf18d164d347cc73a883,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,true,,,,,,,
v-1461944107,,,,false,United Kingdom,GB,97193,-0.9720542770865054,51.436107725136814,Lexus Reading,4e48c20314959d51c1814c90,,,,,,,,,,,,,,,
v-1461944107,,,,false,United Kingdom,GB,110057,-0.785693948445162,51.415792281970226,Lexus Bracknell,4b84e682f964a520154731e3,,,,,,,,,,,,,,,
v-1461944107,1,3,8,false,United Kingdom,GB,978,1.092888327887867,51.29351807196465,Lexus Canterbury,4d52a7fce0275481dcfeb6b6,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,true,Sidcup,Greater London,DA14 5HS,,,,
v-1461944107,1,2,2,false,United Kingdom,GB,45722,0.6046163773326233,51.57437604221376,Lexus Service Center,4ff6e65de4b03705ce17c9bc,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/gas_,Gas Station,Gas Stations,Gas Station,4bf58dd8d48988d113951735,true,Boulogne-sur-Mer,Nord-Pas-de-Calais,62200,,,,
v-1461944107,,8,16,false,United Kingdom,GB,67835,0.12516336982759357,51.41550995765066,Lexus Sidcup,51b2f1ba498e954e6aa6783f,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,true,London,Greater London,,,,,
v-1461944107,,1,1,false,France,FR,72756,1.605005,50.726039,Lexus Bar,560cffeb498e5269f4160ef5,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/default_,Lounge,Lounges,Lounge,4bf58dd8d48988d121941735,true,Hatfield,Hertfordshire,,,,,
v-1461944107,,4,6,false,United Kingdom,GB,79510,0.060029511573172795,51.61586301623869,Lexus,4f491370e4b08df2fc487a12,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,true,,,,,,,
