referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.cc,location.distance,location.lng,location.lat,name,id,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,location.city,location.postalCode,location.state,url,location.crossStreet,storeId,allowMenuUrlEdit,venuePage.id,location.neighborhood,venueChains.id,menu.mobileUrl,menu.url,menu.anchor,menu.label,menu.type,hasMenu,events.summary,events.count
v-1461328980,,1,1,false,United Kingdom,GB,75210,-3.004782199859619,56.673306883532014,Gateway to the Glens Museum,50006737e8890f99a87451e3,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_history_,History Museum,History Museums,History Museum,4bf58dd8d48988d190941735,St Andrews,KY15 5NF,Fife,,,,,,,,,,,,,,,
v-1461328980,,3,3,false,United Kingdom,GB,75884,-3.012917,56.669221,Kirriemuir Museum,4db29ed0fa8c6bb2d0b54b3b,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_history_,History Museum,History Museums,History Museum,4bf58dd8d48988d190941735,St Andrews,,Fife,,,,,,,,,,,,,,,
v-1461328980,,2,2,false,United Kingdom,GB,77610,-3.3801841735839844,57.25200739806797,Tomintoul Tourist Info & Museum,4c2f35bd213c2d7ffa68305d,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_,Museum,Museums,Museum,4bf58dd8d48988d181941735,St Andrews,,Fife,,,,,,,,,,,,,,,
v-1461328980,,2,2,false,United Kingdom,GB,79135,-3.0938466304440717,57.61334647774386,Fochabers Folk Museum,4e020696b61c90045006ca8e,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_,Museum,Museums,Museum,4bf58dd8d48988d181941735,St Andrews,,Fife,,,,,,,,,,,,,,,
v-1461328980,,1,1,false,United Kingdom,GB,88670,-3.1633677330453205,56.58956000263593,Meigle Sculptured Stone Museum,4e74b745d4c09344718b96b6,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_history_,History Museum,History Museums,History Museum,4bf58dd8d48988d190941735,St Andrews,,Fife,,,,,,,,,,,,,,,
v-1461328980,,19,134,false,United Kingdom,GB,90031,-3.145031,56.562231,Meigle Museum,4dbd6b4b4b222080d3a8801d,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_history_,History Museum,History Museums,History Museum,4bf58dd8d48988d190941735,Crail,,Fife,,,,,,,,,,,,,,,
v-1461328980,,4,4,false,United Kingdom,GB,91621,-3.310197232007695,57.64911939971249,Elgin Museum,4db08e4943a1bea42bb891c8,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_,Museum,Museums,Museum,4bf58dd8d48988d181941735,Ceres,,Highland,,,,,,,,,,,,,,,
v-1461328980,,2,2,false,United Kingdom,GB,90765,-2.949061,56.46636,Dundee Museum of Transport,5371d480498e812b33246b5d,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_,Museum,Museums,Museum,4bf58dd8d48988d181941735,Nairn,,,,,,,,,,,,,,,,,
v-1461328980,,9,22,false,United Kingdom,GB,92399,-2.983312,56.461523,Scotland's Jute Museum @ Verdant Works,53dd0227498ea6a9ee68e347,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_history_,History Museum,History Museums,History Museum,4bf58dd8d48988d190941735,,,,,,,,,,,,,,,,,,
v-1461328980,,86,112,false,United Kingdom,GB,92152,-3.31561422,57.653161,Moray Motor Museum,4c66ee117abde21ef4f36468,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_science_,Science Museum,Science Museums,Science Museum,4bf58dd8d48988d191941735,,,,,,,,,,,,,,,,,,
v-1461328980,,91,96,true,United Kingdom,GB,98078,-2.7940870504224526,56.34279683776239,MUSA - Museum of the University of St Andrews,4ce927d19f776ea8f9306222,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_history_,History Museum,History Museums,History Museum,4bf58dd8d48988d190941735,,,,,,,,,,,,,,,,,,
v-1461328980,,35,37,false,United Kingdom,GB,98165,-2.8019054785045143,56.34395769859803,British Golf Museum,4e9aba4e6da1cbe0b8734537,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_history_,History Museum,History Museums,History Museum,4bf58dd8d48988d190941735,,,,,,,,,,,,,,,,,,
v-1461328980,,14,35,false,United Kingdom,GB,98697,-2.805233370727416,56.33954311247436,St Andrews Museum Kinburn Park,4c961b2894a0236ad4d49b12,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_,Museum,Museums,Museum,4bf58dd8d48988d181941735,,,,,,,,,,,,,,,,,,
v-1461328980,,4,17,true,United Kingdom,GB,98206,-2.789808511734009,56.3404314308456,St Andrews Preservation Trust Museum & Garden,4ba24275f964a520b7e737e3,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_history_,History Museum,History Museums,History Museum,4bf58dd8d48988d190941735,,,,,,,,,,,,,,,,,,
v-1461328980,,1,2,false,United Kingdom,GB,98593,-2.795458975120056,56.3380511012744,Bell Pettigrew Museum,4daee9461e7207bbeb1a00a1,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_history_,History Museum,History Museums,History Museum,4bf58dd8d48988d190941735,,,,,,,,,,,,,,,,,,
