referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.cc,location.distance,location.lng,location.lat,name,id,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,allowMenuUrlEdit,venueChains.id,url,location.city,location.state,location.postalCode,location.crossStreet,storeId,location.neighborhood,menu.mobileUrl,menu.url,menu.anchor,menu.label,menu.type,menu.externalUrl,hasMenu
v-1462921183,10,165,349,false,United Kingdom,GB,8383,-3.207569,55.936902,Costa Coffee,4bc03893b492d13acf05a460,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,5569efbaa7c8896abe7bf070,https://www.costa.co.uk,Edinburgh,Edinburgh,EH1 1HN,83 George St,,,,,,,,,
v-1462921183,2,81,121,false,United Kingdom,GB,9554,-3.186728736361041,55.94853559207575,Costa Coffee,5305e3f4498e7219ce65c37e,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Edinburgh,Edinburgh,EH2 3AH,1 Macintosh Road,,,,,,,,,
v-1462921183,4,512,1056,false,United Kingdom,GB,8542,-3.202965259552002,55.95144651563264,Costa Coffee,4bb73edcf562ef3b97253197,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Edinburgh,Edinburgh,EH6 7DZ,Jct 6, M90,,,,,,,,,
v-1462921183,5,131,303,false,United Kingdom,GB,11249,-3.1642562929296,55.92712843121618,Costa Coffee,4c18f6fd6a21c9b684c8c997,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Edinburgh,Edinburgh,EH54 6HR,Tryst Rd.,,,,,,,,,
v-1462921183,2,185,516,false,United Kingdom,GB,10661,-3.1777524948120117,55.98044957315567,Costa Coffee,4b1fadb0f964a520032824e3,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Edinburgh,Edinburgh,EH7 4GG,M9/M80, Jct 9,,,,,,,,,
v-1462921183,3,4,7,false,United Kingdom,GB,2612,-3.311237878564584,55.93293069657371,Costa Coffee,50c07148e4b0e418edd222d6,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Livingston,West Lothian,EH54 6QX,Btw Jct 5 & 6, M74,,,,,,,,,
v-1462921183,2,131,378,false,United Kingdom,GB,13170,-3.514839,55.88368461666666,Costa Coffee,4d10c7d859606dcbcc8e773e,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Edinburgh,Edinburgh,EH2 3ES,Btw Jct 4 & 5, M74,,,,,,,,,
v-1462921183,2,7,43,false,United Kingdom,GB,9203,-3.195004463195801,55.965740594000806,Costa Coffee,524c37108bbd88e79b902ffa,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Dunfermline,Fife,EH1,Crieff Rd.,,,,,,,,,
v-1462921183,6,5,225,false,United Kingdom,GB,12197,-3.4160857128154833,56.0509774075173,Costa Coffee,4fdcdd24e4b03622b17f4bfb,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Kirkcaldy,Fife,KY12 7JG,East Kilbride Shopping Centre,,,,,,,,,
v-1462921183,2,87,210,false,United Kingdom,GB,22385,-3.198549168815395,56.134920139916,Costa Coffee,549ed60a498ebc7d8ca4c548,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Livingston,West Lothian,EH54 7BW,,,,,,,,,,
