referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.cc,location.distance,location.lng,location.lat,name,id,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,location.state,location.city,allowMenuUrlEdit,location.postalCode,location.crossStreet,url,storeId,venuePage.id,menu.mobileUrl,menu.url,menu.anchor,menu.label,menu.type,venueChains.id,hasMenu,location.neighborhood,menu.externalUrl
v-1464363753,,12,16,false,Australia,AU,82368,144.77680077307852,-37.733385778082145,St Albans Sports Club,4e43b552887703085fd6aafe,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,VIC,Maribyrnong,true,3010,,,,,,,,,,,,,
v-1464363753,,46,174,false,Australia,AU,90035,144.24070879797256,-36.81157212011407,Rebel Sport,4ceb35b4d99f721eb1ccbf73,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Bar,Bars,Bar,4bf58dd8d48988d116941735,VIC,Footscray West,true,3039,,,,,,,,,,,,,
v-1464363753,,17,27,false,Australia,AU,92659,144.84832048416138,-37.864419037011416,Altona Sports Club,4b5add4ff964a520f2d728e3,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,VIC,Caulfield,true,VIC3125,,,,,,,,,,,,,
v-1464363753,,39,108,false,Australia,AU,91289,144.88523943266776,-37.7140386306897,Rebel Sport,4dfd7f6c483b96a3aaa9d928,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_,Sports Bar,Sports Bars,Sports Bar,4bf58dd8d48988d11d941735,VIC,Brunswick,true,3006,,,,,,,,,,,,,
v-1464363753,,1,1,false,Australia,AU,86206,144.46580748190306,-38.17717180774551,Leopold Sportsmans Club,4c2d4291e307d13a519d0dda,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,VIC,Parkville,,,,,,,,,,,,,,,
v-1464363753,,38,82,false,Australia,AU,93075,144.88941192626953,-37.77431051175518,Performance Sport,4d1be80d09546dcb6c7dcd38,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,VIC,Moonee Ponds, Melbourne,,,,,,,,,,,,,,,
v-1464363753,,26,44,false,Australia,AU,110011,145.1027011871338,-37.70256555538891,Rebel Sport,4c187ac9d4d9c9284487ef29,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Radio Station,Radio Stations,Radio Station,5032856091d4c4b30a586d63,VIC,Burwood,,,,,,,,,,,,,,,
v-1464363753,,1,3,false,Australia,AU,106678,145.071759223938,-37.65161637775018,Rebel Sport,4c12ee6d82a3c9b651b6faf8,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,VIC,Melbourne,,,,,,,,,,,,,,,
v-1464363753,,97,182,false,Australia,AU,99639,144.9576962205682,-37.801022625145386,Sport 927,50d93972e4b0b55bd224f8f2,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Office,Offices,Office,4bf58dd8d48988d124941735,VIC,Southbank,,,,,,,,,,,,,,,
v-1464363753,,4,140,false,Australia,AU,93035,144.88859750502252,-37.77536884470378,Rebel Sport,4bf8cdbb5efe2d7f626c6b34,true,.png,https://ss3.4sqi.net/img/categories_v2/building/gym_,Gym,College Gyms,College Gym,4bf58dd8d48988d1b2941735,Victoria,,,,,,,,,,,,,,,,
