referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.cc,location.distance,location.lng,location.lat,name,id,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,location.mayNotNeedAddress,allowMenuUrlEdit,venueChains.id,url,location.city,location.state,location.postalCode,location.crossStreet,storeId,location.neighborhood,menu.mobileUrl,menu.url,menu.anchor,menu.label,menu.type,menu.externalUrl,hasMenu
v-1460742714,2,4,7,false,United Kingdom,GB,9772,-2.2705361851602253,57.151051555454266,Costa Coffee,55fd222d498ef4752cc34fd9,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Dundee,Dundee City,DD5 1DS,,,,,,,,,,
v-1460742714,,2,2,false,United Kingdom,GB,72663,-2.8882831335067745,56.644644039111206,Costa Coffee,56a40976498ea4930b6332c2,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Dundee,Dundee City,IV30 1BJ,,,,,,,,,,
v-1460742714,,29,127,false,United Kingdom,GB,91031,-3.3104084450676097,57.64024963562614,Costa Coffee,51f3ba91498ed200bcadee00,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Dundee,Dundee City,PH22 1QN,,,,,,,,,,
v-1460742714,,25,38,false,United Kingdom,GB,88207,-2.874516,56.46718,Costa Coffee,5152e6ace4b011c28b9b365f,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Dundee,Moray,DD1 3DG,,,,,,,,,,
v-1460742714,,3,10,false,United Kingdom,GB,85048,-2.833346,56.486584,Costa Coffee,4ed9302b9a5286d91ddc810b,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Lossiemouth,Dundee City,,,,,,,,,,,
v-1460742714,,290,861,false,United Kingdom,GB,98357,-2.795406020950583,56.34036819991864,Costa Coffee,4b83c92df964a520711031e3,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Broughty Ferry,Moray,,,,,,,,,,,
v-1460742714,,67,209,false,United Kingdom,GB,92757,-2.975374460220337,56.45458830813295,Costa Coffee,4d33ad249c2d59419b7137d8,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Elgin,Highland,,,,,,,,,,,
v-1460742714,,176,430,false,United Kingdom,GB,91995,-2.9704713821411133,56.461032291584964,Costa Coffee,4bf8e79f5efe2d7f8a856b34,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Aviemore,Dundee City,,,,,,,,,,,
v-1460742714,,180,420,false,United Kingdom,GB,92241,-2.973562994163346,56.459525588095424,Costa Coffee,4bbf5321f353d13a3f637e10,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Dundee,Moray,,,,,,,,,,,
v-1460742714,,31,63,false,United Kingdom,GB,91852,-2.96748688081464,56.46145683864828,Costa Coffee,520e27bf11d2bebbd58601d0,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Forres,,,,,,,,,,,,
