referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.cc,location.distance,location.lng,location.lat,name,id,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,allowMenuUrlEdit,venueChains.id,location.city,location.postalCode,url,location.state,storeId,location.crossStreet,location.neighborhood,menu.mobileUrl,menu.url,menu.anchor,menu.label,menu.type,menu.externalUrl,hasMenu,venuePage.id
v-1461925477,7,136,466,true,United Kingdom,GB,2652,-7.27445125579834,54.99878899328632,Starbucks,4bbfad01b492d13acd15a360,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,Londonderry,BT47 5FX,http://starbucks.co.uk,Londonderry,12736,,,,,,,,,,
v-1461925477,5,6,6,false,United Kingdom,GB,23605,-6.948307643133161,55.045590166780194,Starbucks,4def7366b0fbe76bc3c361e2,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,Coleraine,BT52 1LB,http://starbucks.co.uk,Coleraine,12609,,,,,,,,,,
v-1461925477,15,152,403,false,Ireland,IE,30072,-7.766776999999999,54.94584039999999,Starbucks coffee,4f1a3d4fe4b044fd344e174f,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,Belfast,BT1 5DA,http://starbucks.co.uk,Belfast,12551,,,,,,,,,,
v-1461925477,2,978,3435,true,United Kingdom,GB,43689,-6.6681,55.131768,Starbucks,4b66d085f964a520df2b2be3,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,Belfast,BT2 7AD,http://www.starbucks.co.uk,Craigavon,12580,,,,,,,,,,
v-1461925477,7,100,279,true,United Kingdom,GB,97769,-5.927896499633788,54.598516087142286,Starbucks,4c04075439d476b0f5e830a7,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,Belfast,BT29 4AB,http://starbucks.co.uk,Co Sligo,12596,,,,,,,,,,
v-1461925477,2,531,912,false,United Kingdom,GB,97540,-5.934724639799862,54.59519514000115,Starbucks,553a34a1498e037083ca9485,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,Belfast,BT12 6HU,http://starbucks.co.uk,Newry and Mourne,12827,,,,,,,,,,
v-1461925477,8,237,1155,true,United Kingdom,GB,78022,-6.216436355095971,54.661352568419346,Starbucks,502904745dd7750e9d63bd76,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,Belfast,BT9 6AG,http://starbucks.co.uk,Belfast,12869,,,,,,,,,,
v-1461925477,13,394,1555,true,United Kingdom,GB,96487,-5.965275764465332,54.58148898821668,Starbucks,4b5b9054f964a5206e0729e3,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,Belfast,BT1 4QG,http://starbucks.co.uk,Banbridge District,12532,,,,,,,,,,
v-1461925477,5,819,3515,true,United Kingdom,GB,97672,-5.94110906124115,54.58530656180051,Starbucks,4b78fb91f964a5200fe82ee3,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,County Antrim,BT41 4LL,http://starbucks.co.uk,Belfast,12624,,,,,,,,,,
v-1461925477,7,260,849,true,United Kingdom,GB,97968,-5.92463493347168,54.59830476846028,Starbucks,4b596e94f964a520138828e3,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,Belfast,BT7 1JR,http://starbucks.co.uk,Co Louth,12599,,,,,,,,,,
